     x     y   occupancy           %    capacity
     0     0           0       0.000          20
     1     0           3      15.000          20
     2     0           4      20.000          20
     3     0           4      20.000          20
     4     0           0       0.000          20
     0     1           0       0.000          20
     1     1           1       5.000          20
     2     1           0       0.000          20
     3     1           4      20.000          20
     4     1           0       0.000          20
     0     2           0       0.000          20
     1     2           3      15.000          20
     2     2           6      30.000          20
     3     2           7      35.000          20
     4     2           0       0.000          20
