     x     y   occupancy           %    capacity
     0     0           0       0.000          20
     1     0           0       0.000          20
     2     0           0       0.000          20
     3     0           0       0.000          20
     0     1           0       0.000          20
     1     1           4      20.000          20
     2     1           4      20.000          20
     3     1           8      40.000          20
     0     2           1       5.000          20
     1     2           4      20.000          20
     2     2           2      10.000          20
     3     2          10      50.000          20
     0     3           0       0.000          20
     1     3           0       0.000          20
     2     3           0       0.000          20
     3     3           0       0.000          20
