     x     y   occupancy           %    capacity
     0     0           0       0.000         300
     1     0           4       1.333         300
     2     0          11       3.667         300
     3     0          17       5.667         300
     4     0          26       8.667         300
     5     0          33      11.000         300
     6     0          29       9.667         300
     7     0          22       7.333         300
     8     0           0       0.000         300
     0     1           0       0.000         300
     1     1           1       0.333         300
     2     1           0       0.000         300
     3     1          14       4.667         300
     4     1          28       9.333         300
     5     1          27       9.000         300
     6     1           0       0.000         300
     7     1           0       0.000         300
     8     1           0       0.000         300
     0     2           0       0.000         300
     1     2          10       3.333         300
     2     2          13       4.333         300
     3     2          24       8.000         300
     4     2          27       9.000         300
     5     2          30      10.000         300
     6     2           0       0.000         300
     7     2           7       2.333         300
     8     2           0       0.000         300
     0     3           0       0.000         300
     1     3           4       1.333         300
     2     3           0       0.000         300
     3     3          12       4.000         300
     4     3          23       7.667         300
     5     3          23       7.667         300
     6     3           0       0.000         300
     7     3           8       2.667         300
     8     3           0       0.000         300
     0     4           0       0.000         300
     1     4          13       4.333         300
     2     4          13       4.333         300
     3     4          19       6.333         300
     4     4          32      10.667         300
     5     4          35      11.667         300
     6     4           0       0.000         300
     7     4           4       1.333         300
     8     4           0       0.000         300
     0     5           0       0.000         300
     1     5           0       0.000         300
     2     5           0       0.000         300
     3     5          18       6.000         300
     4     5          27       9.000         300
     5     5          15       5.000         300
     6     5           0       0.000         300
     7     5           0       0.000         300
     8     5           0       0.000         300
     0     6           0       0.000         300
     1     6          12       4.000         300
     2     6          15       5.000         300
     3     6          23       7.667         300
     4     6          37      12.333         300
     5     6          39      13.000         300
     6     6          36      12.000         300
     7     6          30      10.000         300
     8     6           0       0.000         300
     0     7           0       0.000         300
     1     7          12       4.000         300
     2     7          12       4.000         300
     3     7          15       5.000         300
     4     7          16       5.333         300
     5     7          19       6.333         300
     6     7          24       8.000         300
     7     7          19       6.333         300
     8     7           0       0.000         300
