     x     y   occupancy           %    capacity
     0     0           0       0.000         300
     1     0           0       0.000         300
     2     0           0       0.000         300
     3     0           0       0.000         300
     4     0           0       0.000         300
     5     0           0       0.000         300
     6     0           0       0.000         300
     7     0           0       0.000         300
     0     1           1       0.333         300
     1     1           7       2.333         300
     2     1           0       0.000         300
     3     1          44      14.667         300
     4     1          35      11.667         300
     5     1          50      16.667         300
     6     1           4       1.333         300
     7     1          12       4.000         300
     0     2           1       0.333         300
     1     2           8       2.667         300
     2     2           0       0.000         300
     3     2          50      16.667         300
     4     2          46      15.333         300
     5     2          55      18.333         300
     6     2           4       1.333         300
     7     2          14       4.667         300
     0     3           1       0.333         300
     1     3          16       5.333         300
     2     3           0       0.000         300
     3     3          60      20.000         300
     4     3          46      15.333         300
     5     3          49      16.333         300
     6     3           3       1.000         300
     7     3          35      11.667         300
     0     4           5       1.667         300
     1     4          25       8.333         300
     2     4           2       0.667         300
     3     4          66      22.000         300
     4     4          38      12.667         300
     5     4          39      13.000         300
     6     4           4       1.333         300
     7     4          35      11.667         300
     0     5           6       2.000         300
     1     5          19       6.333         300
     2     5           2       0.667         300
     3     5          60      20.000         300
     4     5          46      15.333         300
     5     5          28       9.333         300
     6     5           5       1.667         300
     7     5          40      13.333         300
     0     6           5       1.667         300
     1     6          19       6.333         300
     2     6           2       0.667         300
     3     6          66      22.000         300
     4     6          41      13.667         300
     5     6          18       6.000         300
     6     6           5       1.667         300
     7     6          40      13.333         300
     0     7           5       1.667         300
     1     7          11       3.667         300
     2     7           3       1.000         300
     3     7          46      15.333         300
     4     7          31      10.333         300
     5     7          11       3.667         300
     6     7           3       1.000         300
     7     7          19       6.333         300
     0     8           0       0.000         300
     1     8           0       0.000         300
     2     8           0       0.000         300
     3     8           0       0.000         300
     4     8           0       0.000         300
     5     8           0       0.000         300
     6     8           0       0.000         300
     7     8           0       0.000         300
