     x     y   occupancy           %    capacity
     0     0           0       0.000         300
     1     0          22       7.333         300
     2     0          26       8.667         300
     3     0          29       9.667         300
     4     0          32      10.667         300
     5     0          31      10.333         300
     6     0           0       0.000         300
     0     1           0       0.000         300
     1     1           4       1.333         300
     2     1           0       0.000         300
     3     1          18       6.000         300
     4     1          26       8.667         300
     5     1          24       8.000         300
     6     1           0       0.000         300
     0     2           0       0.000         300
     1     2          19       6.333         300
     2     2          25       8.333         300
     3     2          26       8.667         300
     4     2          32      10.667         300
     5     2          29       9.667         300
     6     2           0       0.000         300
     0     3           0       0.000         300
     1     3           0       0.000         300
     2     3           0       0.000         300
     3     3          22       7.333         300
     4     3          31      10.333         300
     5     3          28       9.333         300
     6     3           0       0.000         300
     0     4           0       0.000         300
     1     4           2       0.667         300
     2     4           4       1.333         300
     3     4           5       1.667         300
     4     4          10       3.333         300
     5     4          15       5.000         300
     6     4           0       0.000         300
     0     5           0       0.000         300
     1     5           5       1.667         300
     2     5           6       2.000         300
     3     5           6       2.000         300
     4     5           5       1.667         300
     5     5           3       1.000         300
     6     5           0       0.000         300
