     x     y   occupancy           %    capacity
     0     0           0       0.000         300
     1     0           0       0.000         300
     2     0           0       0.000         300
     3     0           0       0.000         300
     4     0           0       0.000         300
     5     0           0       0.000         300
     0     1           2       0.667         300
     1     1          25       8.333         300
     2     1           6       2.000         300
     3     1          42      14.000         300
     4     1          40      13.333         300
     5     1          31      10.333         300
     0     2           3       1.000         300
     1     2          28       9.333         300
     2     2           6       2.000         300
     3     2          45      15.000         300
     4     2          35      11.667         300
     5     2          36      12.000         300
     0     3           2       0.667         300
     1     3          13       4.333         300
     2     3           5       1.667         300
     3     3          39      13.000         300
     4     3          25       8.333         300
     5     3          37      12.333         300
     0     4           2       0.667         300
     1     4           9       3.000         300
     2     4           2       0.667         300
     3     4          27       9.000         300
     4     4          20       6.667         300
     5     4          38      12.667         300
     0     5           2       0.667         300
     1     5           7       2.333         300
     2     5           2       0.667         300
     3     5          13       4.333         300
     4     5          10       3.333         300
     5     5          22       7.333         300
     0     6           0       0.000         300
     1     6           0       0.000         300
     2     6           0       0.000         300
     3     6           0       0.000         300
     4     6           0       0.000         300
     5     6           0       0.000         300
