     x     y   occupancy           %    capacity
     0     0           0       0.000         300
     1     0          11       3.667         300
     2     0          19       6.333         300
     3     0          29       9.667         300
     4     0          44      14.667         300
     5     0          69      23.000         300
     6     0          73      24.333         300
     7     0          75      25.000         300
     8     0          63      21.000         300
     9     0          34      11.333         300
    10     0          20       6.667         300
    11     0           9       3.000         300
    12     0           0       0.000         300
     0     1           0       0.000         300
     1     1           1       0.333         300
     2     1           0       0.000         300
     3     1          12       4.000         300
     4     1          23       7.667         300
     5     1          27       9.000         300
     6     1           0       0.000         300
     7     1          22       7.333         300
     8     1          27       9.000         300
     9     1          15       5.000         300
    10     1           0       0.000         300
    11     1           0       0.000         300
    12     1           0       0.000         300
     0     2           0       0.000         300
     1     2          11       3.667         300
     2     2          21       7.000         300
     3     2          32      10.667         300
     4     2          44      14.667         300
     5     2          39      13.000         300
     6     2           0       0.000         300
     7     2          20       6.667         300
     8     2          24       8.000         300
     9     2          23       7.667         300
    10     2          13       4.333         300
    11     2          12       4.000         300
    12     2           0       0.000         300
     0     3           0       0.000         300
     1     3          15       5.000         300
     2     3           0       0.000         300
     3     3          12       4.000         300
     4     3          22       7.333         300
     5     3          23       7.667         300
     6     3           0       0.000         300
     7     3          22       7.333         300
     8     3          25       8.333         300
     9     3          27       9.000         300
    10     3           0       0.000         300
    11     3           0       0.000         300
    12     3           0       0.000         300
     0     4           0       0.000         300
     1     4          25       8.333         300
     2     4          34      11.333         300
     3     4          36      12.000         300
     4     4          33      11.000         300
     5     4          33      11.000         300
     6     4           0       0.000         300
     7     4          29       9.667         300
     8     4          33      11.000         300
     9     4          33      11.000         300
    10     4          18       6.000         300
    11     4          17       5.667         300
    12     4           0       0.000         300
     0     5           0       0.000         300
     1     5          15       5.000         300
     2     5           0       0.000         300
     3     5          22       7.333         300
     4     5          31      10.333         300
     5     5          28       9.333         300
     6     5           0       0.000         300
     7     5          19       6.333         300
     8     5          28       9.333         300
     9     5          25       8.333         300
    10     5           0       0.000         300
    11     5           0       0.000         300
    12     5           0       0.000         300
     0     6           0       0.000         300
     1     6          29       9.667         300
     2     6          52      17.333         300
     3     6          71      23.667         300
     4     6          97      32.333         300
     5     6         118      39.333         300
     6     6         122      40.667         300
     7     6         107      35.667         300
     8     6          87      29.000         300
     9     6          78      26.000         300
    10     6          54      18.000         300
    11     6          44      14.667         300
    12     6           0       0.000         300
     0     7           0       0.000         300
     1     7          15       5.000         300
     2     7           0       0.000         300
     3     7          26       8.667         300
     4     7          58      19.333         300
     5     7          81      27.000         300
     6     7          99      33.000         300
     7     7          97      32.333         300
     8     7          81      27.000         300
     9     7          68      22.667         300
    10     7           0       0.000         300
    11     7           1       0.333         300
    12     7           0       0.000         300
     0     8           0       0.000         300
     1     8           6       2.000         300
     2     8          20       6.667         300
     3     8          37      12.333         300
     4     8          53      17.667         300
     5     8          73      24.333         300
     6     8          73      24.333         300
     7     8          67      22.333         300
     8     8          56      18.667         300
     9     8          41      13.667         300
    10     8          27       9.000         300
    11     8          18       6.000         300
    12     8           0       0.000         300
     0     9           0       0.000         300
     1     9           0       0.000         300
     2     9           0       0.000         300
     3     9          27       9.000         300
     4     9          37      12.333         300
     5     9          54      18.000         300
     6     9          57      19.000         300
     7     9          59      19.667         300
     8     9          62      20.667         300
     9     9          47      15.667         300
    10     9           0       0.000         300
    11     9           0       0.000         300
    12     9           0       0.000         300
     0    10           0       0.000         300
     1    10           4       1.333         300
     2    10          10       3.333         300
     3    10          22       7.333         300
     4    10          37      12.333         300
     5    10          42      14.000         300
     6    10          44      14.667         300
     7    10          43      14.333         300
     8    10          29       9.667         300
     9    10          21       7.000         300
    10    10          13       4.333         300
    11    10           3       1.000         300
    12    10           0       0.000         300
     0    11           0       0.000         300
     1    11           7       2.333         300
     2    11           6       2.000         300
     3    11          12       4.000         300
     4    11          15       5.000         300
     5    11          16       5.333         300
     6    11          18       6.000         300
     7    11          15       5.000         300
     8    11          10       3.333         300
     9    11           6       2.000         300
    10    11           4       1.333         300
    11    11           1       0.333         300
    12    11           0       0.000         300
