     x     y   occupancy           %    capacity
     0     0           0       0.000         300
     1     0           0       0.000         300
     2     0           0       0.000         300
     3     0           0       0.000         300
     4     0           0       0.000         300
     5     0           0       0.000         300
     6     0           0       0.000         300
     7     0           0       0.000         300
     8     0           0       0.000         300
     9     0           0       0.000         300
    10     0           0       0.000         300
    11     0           0       0.000         300
     0     1           4       1.333         300
     1     1          10       3.333         300
     2     1           0       0.000         300
     3     1          29       9.667         300
     4     1          38      12.667         300
     5     1          54      18.000         300
     6     1          16       5.333         300
     7     1          45      15.000         300
     8     1          45      15.000         300
     9     1          16       5.333         300
    10     1           0       0.000         300
    11     1           0       0.000         300
     0     2           4       1.333         300
     1     2          13       4.333         300
     2     2           1       0.333         300
     3     2          50      16.667         300
     4     2          43      14.333         300
     5     2          62      20.667         300
     6     2          21       7.000         300
     7     2          44      14.667         300
     8     2          49      16.333         300
     9     2          26       8.667         300
    10     2           0       0.000         300
    11     2           0       0.000         300
     0     3          12       4.000         300
     1     3          38      12.667         300
     2     3           3       1.000         300
     3     3          72      24.000         300
     4     3          67      22.333         300
     5     3          93      31.000         300
     6     3          27       9.000         300
     7     3          62      20.667         300
     8     3          60      20.000         300
     9     3          41      13.667         300
    10     3           0       0.000         300
    11     3           0       0.000         300
     0     4          13       4.333         300
     1     4          53      17.667         300
     2     4           4       1.333         300
     3     4          84      28.000         300
     4     4          82      27.333         300
     5     4         104      34.667         300
     6     4          45      15.000         300
     7     4          76      25.333         300
     8     4          71      23.667         300
     9     4          64      21.333         300
    10     4           0       0.000         300
    11     4           6       2.000         300
     0     5          15       5.000         300
     1     5          73      24.333         300
     2     5           5       1.667         300
     3     5          96      32.000         300
     4     5          95      31.667         300
     5     5         112      37.333         300
     6     5          53      17.667         300
     7     5          80      26.667         300
     8     5          78      26.000         300
     9     5          69      23.000         300
    10     5           0       0.000         300
    11     5          15       5.000         300
     0     6          13       4.333         300
     1     6          77      25.667         300
     2     6           6       2.000         300
     3     6          94      31.333         300
     4     6         102      34.000         300
     5     6         119      39.667         300
     6     6          60      20.000         300
     7     6          94      31.333         300
     8     6          88      29.333         300
     9     6          80      26.667         300
    10     6           0       0.000         300
    11     6          16       5.333         300
     0     7           7       2.333         300
     1     7          59      19.667         300
     2     7           5       1.667         300
     3     7          84      28.000         300
     4     7          87      29.000         300
     5     7         100      33.333         300
     6     7          73      24.333         300
     7     7          84      28.000         300
     8     7          90      30.000         300
     9     7          72      24.000         300
    10     7           1       0.333         300
    11     7          29       9.667         300
     0     8           7       2.333         300
     1     8          48      16.000         300
     2     8           3       1.000         300
     3     8          72      24.000         300
     4     8          74      24.667         300
     5     8          75      25.000         300
     6     8          65      21.667         300
     7     8          75      25.000         300
     8     8          73      24.333         300
     9     8          54      18.000         300
    10     8           2       0.667         300
    11     8          25       8.333         300
     0     9           3       1.000         300
     1     9          20       6.667         300
     2     9           3       1.000         300
     3     9          52      17.333         300
     4     9          57      19.000         300
     5     9          63      21.000         300
     6     9          53      17.667         300
     7     9          65      21.667         300
     8     9          58      19.333         300
     9     9          47      15.667         300
    10     9           1       0.333         300
    11     9          16       5.333         300
     0    10           3       1.000         300
     1    10          12       4.000         300
     2    10           4       1.333         300
     3    10          38      12.667         300
     4    10          44      14.667         300
     5    10          50      16.667         300
     6    10          46      15.333         300
     7    10          52      17.333         300
     8    10          39      13.000         300
     9    10          25       8.333         300
    10    10           1       0.333         300
    11    10          15       5.000         300
     0    11           2       0.667         300
     1    11           5       1.667         300
     2    11           6       2.000         300
     3    11          22       7.333         300
     4    11          30      10.000         300
     5    11          31      10.333         300
     6    11          27       9.000         300
     7    11          37      12.333         300
     8    11          16       5.333         300
     9    11          16       5.333         300
    10    11           1       0.333         300
    11    11           2       0.667         300
     0    12           0       0.000         300
     1    12           0       0.000         300
     2    12           0       0.000         300
     3    12           0       0.000         300
     4    12           0       0.000         300
     5    12           0       0.000         300
     6    12           0       0.000         300
     7    12           0       0.000         300
     8    12           0       0.000         300
     9    12           0       0.000         300
    10    12           0       0.000         300
    11    12           0       0.000         300
